Entity,Relationship,Value
Evaluation for metabolic disease (Diagnostic Procedure) (Newborn-Screen-Follow-up-Elevated C14-Long-Chain Acylcarnitine),includes,"Acylcarnitines, Quantitative, Serum (Diagnostic Procedure)"
Abnormal acylcarnitine profile (Finding) (Newborn-Screen-Follow-up-Elevated C14-Long-Chain Acylcarnitine),suggests,VLCAD deficiency (Disease or Syndrome)
Normal acylcarnitine profile (Finding) (Newborn-Screen-Follow-up-Elevated C14-Long-Chain Acylcarnitine),requires,Stop evaluation (Administrative Activity)
Persistent suspicion of VLCAD deficiency (Finding) (Newborn-Screen-Follow-up-Elevated C14-Long-Chain Acylcarnitine),prompts,Custom Gene Panel analysis (Diagnostic Procedure)
Confirmed VLCAD deficiency (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated C14-Long-Chain Acylcarnitine),requires,Fatty Acid Oxidation Probe Assay (Diagnostic Procedure)
Indeterminate result for VLCAD deficiency (Finding) (Newborn-Screen-Follow-up-Elevated C14-Long-Chain Acylcarnitine),requires,Stop evaluation (Administrative Activity)
Elevated 3-hydroxyisovaleryl-2-methyl 3-hydroxybutyryl-carnitine (C5-OH) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,Plasma ammonia measurement (Diagnostic Procedure)
Elevated 3-hydroxyisovaleryl-2-methyl 3-hydroxybutyryl-carnitine (C5-OH) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,Blood gas measurement (Diagnostic Procedure)
Elevated 3-hydroxyisovaleryl-2-methyl 3-hydroxybutyryl-carnitine (C5-OH) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,Glucose measurement (Diagnostic Procedure)
Elevated 3-hydroxyisovaleryl-2-methyl 3-hydroxybutyryl-carnitine (C5-OH) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,Electrolytes measurement (Diagnostic Procedure)
Elevated 3-hydroxyisovaleryl-2-methyl 3-hydroxybutyryl-carnitine (C5-OH) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,"Organic Acids Screen, Random, Urine (Diagnostic Procedure)"
Elevated 3-hydroxyisovaleryl-2-methyl 3-hydroxybutyryl-carnitine (C5-OH) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,"Acylcarnitines, Quantitative, Random Urine (Diagnostic Procedure)"
Elevated 3-hydroxyisovaleryl-2-methyl 3-hydroxybutyryl-carnitine (C5-OH) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,Tandem Mass Follow-up (Diagnostic Procedure)
Elevated 3-hydroxyisovaleryl-2-methyl 3-hydroxybutyryl-carnitine (C5-OH) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,"Acylcarnitines, Quantitative, Plasma (Diagnostic Procedure)"
Elevated 3-hydroxyisovaleryl-2-methyl 3-hydroxybutyryl-carnitine (C5-OH) (Finding) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,"Acylcarnitines, Quantitative, Serum (Diagnostic Procedure)"
3-methylcrotonyl-CoA carboxylase deficiency (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C5-OH),warrants,MCCC1 and MCCC2 gene analysis (Diagnostic Procedure)
3-hydroxy-3-methylglutaryl-CoA lyase deficiency (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C5-OH),warrants,HMGCL gene analysis (Diagnostic Procedure)
Beta-ketothiolase deficiency (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C5-OH),warrants,ACADVL gene analysis (Diagnostic Procedure)
2-methyl-3-hydroxybutyric aciduria/2-methyl-3-hydroxybutyryl-carnitine dehydrogenase deficiency (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C5-OH),warrants,ACADVL gene analysis (Diagnostic Procedure)
3-methylglutaconic aciduria type 1 (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,3-Methylglutaconic Aciduria Panel (Diagnostic Procedure)
Mitochondrially encoded ATP synthase membrane subunit 6 gene related mitochondrial disease (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,Mitochondrial Full Gene Analysis (Diagnostic Procedure)
Multiple carboxylase deficiency (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,Biotinidase assay (Diagnostic Procedure)
Normal confirmatory tests (Finding) (Newborn-Screen-Follow-up-Elevated-C5-OH),may indicate,False positive newborn screen (Finding)
Normal confirmatory tests (Finding) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires exclusion of,Maternal inborn error of metabolism (Disease or Syndrome)
Biotinidase deficiency (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C5-OH),requires,Biotinidase (Serum) test (Diagnostic Procedure)
Biotinidase deficiency (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C5-OH),warrants,BTD Full Gene Analysis (Diagnostic Procedure)
Holocarboxylase synthetase deficiency (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C5-OH),warrants,Holocarboxylase synthetase gene analysis (Diagnostic Procedure)
Mast cell disorder evaluation (Disease or Syndrome) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),requires,Serum tryptase test (Diagnostic Procedure)
Mast cell disorder evaluation (Disease or Syndrome) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),requires,KIT p.Asp816Val variant analysis (Diagnostic Procedure)
Mast cell disorder evaluation (Disease or Syndrome) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),requires,"Immunohistochemistry for tryptase, CD117, and CD25 (Diagnostic Procedure)"
Inadequate bone marrow biopsy and immunohistochemistry (Finding) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),requires,Flow cytometry immunophenotyping (Diagnostic Procedure)
Mast cells in bone marrow (Finding) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),fulfill,Systemic mastocytosis (Disease or Syndrome)
Bone marrow features of hematologic neoplasm (Finding) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),requires,Disease-specific workup (Diagnostic Procedure)
Negative KIT Asp816Val (Laboratory or Test Result) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),requires,Chromosome analysis for hematologic disorder (Diagnostic Procedure)
Negative KIT Asp816Val (Laboratory or Test Result) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),requires,FISH for chronic eosinophilia (Diagnostic Procedure)
Negative KIT Asp816Val (Laboratory or Test Result) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),requires,Chromosome analysis (DNA and RNA extract) (Diagnostic Procedure)
Mast cell burden >5% in bone marrow (Finding) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),considers,Next-generation sequencing for myeloid neoplasms (Diagnostic Procedure)
≤2 minor SM criteria (Finding) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),considers,Monoclonal mast cell activation syndrome (Disease or Syndrome)
Positive CD25 or KIT Asp816Val (Laboratory or Test Result) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),suggests,Monoclonal mast cell activation syndrome (Disease or Syndrome)
Possible sampling issue (Finding) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),requires,Repeat bone marrow biopsy (Diagnostic Procedure)
Normal bone marrow morphology and negative KIT mutation (Finding) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),terminates,Additional testing (Diagnostic Procedure)
Other abnormal hematologic cells in bone marrow (Finding) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),requires,Disease-specific workup (Diagnostic Procedure)
Other normal hematologic cells in bone marrow (Finding) (Mast_Cell_Disorder_Diagnostic_Algorithm__Bone_Marrow),terminates,Additional testing (Diagnostic Procedure)
Elevated C16-OH ± C18-OH acylcarnitine (Finding) (Newborn-Screen-Elevated-C16-OH-C18-OH),prompts,"Measurement of glucose, electrolytes, blood gas, lactate, creatine kinase, liver function tests, organic acids screen, and quantitative plasma or serum acylcarnitines (Diagnostic Procedure)"
Findings consistent with LCHAD deficiency or TFP deficiency (Finding) (Newborn-Screen-Elevated-C16-OH-C18-OH),prompt,HADHA and HADHB gene panel (Diagnostic Procedure)
Positive HADHA variant (Gene or Genome) (Newborn-Screen-Elevated-C16-OH-C18-OH),confirms,LCHAD deficiency (Disease or Syndrome)
Positive HADHB variant (Gene or Genome) (Newborn-Screen-Elevated-C16-OH-C18-OH),confirms,TFP deficiency (Disease or Syndrome)
Normal HADHA and HADHB results (Gene or Genome) (Newborn-Screen-Elevated-C16-OH-C18-OH),leads to,Stop (Therapeutic or Preventive Procedure)
Persistent clinical suspicion (Finding) (Newborn-Screen-Elevated-C16-OH-C18-OH),leads to,Stop (Therapeutic or Preventive Procedure)
Decreased citrulline (Finding) (Newborn-Screen-Follow-up-Decreased-Citrulline),prompts,Metabolic panel (Diagnostic Procedure)
Decreased citrulline (Finding) (Newborn-Screen-Follow-up-Decreased-Citrulline),prompts,"Amino acids, quantitative, plasma test (Diagnostic Procedure)"
Decreased citrulline (Finding) (Newborn-Screen-Follow-up-Decreased-Citrulline),prompts,"Acylcarnitines, quantitative, plasma test (Diagnostic Procedure)"
Decreased citrulline (Finding) (Newborn-Screen-Follow-up-Decreased-Citrulline),prompts,"Organic acids screen, random, urine test (Diagnostic Procedure)"
Decreased citrulline (Finding) (Newborn-Screen-Follow-up-Decreased-Citrulline),prompts,"Orotic acid, random, urine test (Diagnostic Procedure)"
Test results consistent with ornithine transcarbamylase deficiency (Finding) (Newborn-Screen-Follow-up-Decreased-Citrulline),requires,Custom Gene Panel for OTC gene (Diagnostic Procedure)
Test results suggestive of carbamoyl phosphate synthetase or N-acetylglutamate deficiency (Finding) (Newborn-Screen-Follow-up-Decreased-Citrulline),requires,Urea Cycle Disorders Gene Panel (Diagnostic Procedure)
Test results suggestive of MT-ATP6 deficiency (Finding) (Newborn-Screen-Follow-up-Decreased-Citrulline),requires,Mitochondrial Full Genome Analysis (Diagnostic Procedure)
Test results suggestive of carbonic anhydrase VA deficiency (Finding) (Newborn-Screen-Follow-up-Decreased-Citrulline),requires,Custom Gene Panel for CA5A gene (Diagnostic Procedure)
Normal results (Finding) (Newborn-Screen-Follow-up-Decreased-Citrulline),indicates,Stop (Activity)
Decreased G6PD screening result (Finding) (Newborn_Screen_Follow-up_for_Glucose-6-Phosphate_Dehydrogenase__G-6-PD__Deficiency),indicates,"G6PD enzyme activity, Blood (Diagnostic Procedure)"
Normal G6PD enzyme activity (Finding) (Newborn_Screen_Follow-up_for_Glucose-6-Phosphate_Dehydrogenase__G-6-PD__Deficiency),rules out,G6PD deficiency (Disease or Syndrome)
Hyperbilirubinemia (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Glucose-6-Phosphate_Dehydrogenase__G-6-PD__Deficiency),indicates,Repeat G6PD enzyme testing at 3 months (Diagnostic Procedure)
Deficient G6PD enzyme activity (Finding) (Newborn_Screen_Follow-up_for_Glucose-6-Phosphate_Dehydrogenase__G-6-PD__Deficiency),indicates,G6PD deficiency (Disease or Syndrome)
G6PD deficiency (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Glucose-6-Phosphate_Dehydrogenase__G-6-PD__Deficiency),suggests,Referral to genetics specialist (Health Care Activity)
G6PD deficiency (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Glucose-6-Phosphate_Dehydrogenase__G-6-PD__Deficiency),suggests,G6PD full gene sequencing (Diagnostic Procedure)
Non-informative G6PD full gene sequencing (Finding) (Newborn_Screen_Follow-up_for_Glucose-6-Phosphate_Dehydrogenase__G-6-PD__Deficiency),indicates,G6PD deletion or duplication testing (Diagnostic Procedure)
G6PD deficiency (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Glucose-6-Phosphate_Dehydrogenase__G-6-PD__Deficiency),requires,"CBC, CBC with differential, blood smear, reticulocyte count (Diagnostic Procedure)"
Coagulation factor VIII activity <55% (Finding) (von_Willebrand_Disease_Profile),prompts,Coagulation factor VIII inhibitor screen (Diagnostic Procedure)
Positive coagulation factor VIII inhibitor screen (Finding) (von_Willebrand_Disease_Profile),prompts,Bethesda titer (Diagnostic Procedure)
Negative coagulation factor VIII inhibitor screen (Finding) (von_Willebrand_Disease_Profile),indicates,No evidence of factor VIII inhibitor (Finding)
Coagulation factor VIII activity ≥55% (Finding) (von_Willebrand_Disease_Profile),indicates,No evidence of von Willebrand disease (Finding)
VWF antigen ≥55% (Finding) (von_Willebrand_Disease_Profile),indicates,No evidence of von Willebrand disease (Finding)
VWF antigen <55% (Finding) (von_Willebrand_Disease_Profile),prompts,von Willebrand factor multimer analysis (Diagnostic Procedure)
VWF activity : VWF antigen ratio <0.695 (Finding) (von_Willebrand_Disease_Profile),prompts,von Willebrand factor multimer analysis (Diagnostic Procedure)
VWF activity : VWF antigen ratio ≥1.345 (Finding) (von_Willebrand_Disease_Profile),prompts,Retocetin cofactor (Diagnostic Procedure)
VWF activity ≥55% (Finding) (von_Willebrand_Disease_Profile),indicates,No evidence of von Willebrand disease (Finding)
VWF activity <55% (Finding) (von_Willebrand_Disease_Profile),prompts,Ristocetin cofactor (Diagnostic Procedure)
Elevated coagulation factor VIII activity (Finding) (von_Willebrand_Disease_Profile),is_of,Uncertain clinical significance (Finding)
Elevated von Willebrand factor activity (Finding) (von_Willebrand_Disease_Profile),is_of,Uncertain clinical significance (Finding)
Elevated von Willebrand factor antigen (Finding) (von_Willebrand_Disease_Profile),is_of,Uncertain clinical significance (Finding)
Decreased alpha-L-iduronidase (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_I),prompts,"Alpha-L-iduronidase, Leukocytes test (Diagnostic Procedure)"
Decreased alpha-L-iduronidase (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_I),prompts,"Mucopolysaccharidosis, Blood Spot test (Diagnostic Procedure)"
Decreased alpha-L-iduronidase (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_I),prompts,"Mucopolysaccharidosis, Blood test (Diagnostic Procedure)"
Decreased IDUA activity with elevated dermatan and heparan sulfate (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_I),confirms,Mucopolysaccharidosis I (Disease or Syndrome)
Mucopolysaccharidosis I (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_I),requires,Referral to Genetics Specialist (Healthcare Activity)
Mucopolysaccharidosis I (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_I),requires,Hunter Syndrome full-gene analysis (Diagnostic Procedure)
Uninformative full-gene analysis (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_I),warrants,IDUA deletion/duplication analysis (Diagnostic Procedure)
Decreased IDUA activity (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_I),with negative MPS test suggests,IDUA pseudodeficiency or carrier status (Finding)
Normal IDUA activity (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_I),makes,MPS I (Disease or Syndrome) unlikely
High clinical suspicion for MPS I (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_I),prompts,Referral to Genetics Specialist (Healthcare Activity)
Recent RBC transfusion (Therapeutic or Preventive Procedure) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,TPMT & NUDT15 Genotyping (Diagnostic Procedure)
Low hematocrit (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,TPMT & NUDT15 Genotyping (Diagnostic Procedure)
Reticulocytosis (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,TPMT & NUDT15 Genotyping (Diagnostic Procedure)
Uremia (Disease or Syndrome) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,TPMT & NUDT15 Genotyping (Diagnostic Procedure)
Bone marrow transplant (Therapeutic or Preventive Procedure) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,Pretransplant specimen (Diagnostic Procedure)
Absence of bone marrow transplant (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,TPMT & NUDT15 Genotyping (Diagnostic Procedure)
Absence of bone marrow transplant (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,TPMT Activity Profile (Diagnostic Procedure)
Hyperactive TPMT activity (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,Alternative medication (Pharmacologic Substance)
Normal TPMT activity (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,Standard dose and monitoring (Therapeutic or Preventive Procedure)
Heterozygote TPMT activity (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,Dose reduction and monitoring (Therapeutic or Preventive Procedure)
Deficient TPMT activity (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,Alternative medication or drastic dose reduction with close monitoring (Therapeutic or Preventive Procedure)
Absence of NUDT15 variant (Gene or Genome) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,Routine monitoring schedule (Therapeutic or Preventive Procedure)
6-TGN 235-450 pmol/8x10^8 RBC (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,Continuation of therapy and monitoring (Therapeutic or Preventive Procedure)
Low or absent 6-TGN level and 6-MMP level (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),indicates,Noncompliance or underdosing (Finding)
Low 6-TGN level and high 6-MMP level (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,Allopurinol (Pharmacologic Substance) plus drastic dose reduction (Therapeutic or Preventive Procedure)
High 6-TGN level and low 6-MMP level (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,Dose reduction and close monitoring (Therapeutic or Preventive Procedure)
High 6-TGN level and high 6-MMP level (Finding) (TPMT-Testing-Treatment-Inflammatory-Bowel-Disease-Algorithm),requires,Alternative medication (Pharmacologic Substance)
Elevated leucine (Finding) (Newborn-Screen-Follow-up-Elevated-Leucine-Algorithm),triggers,Urine ketones (Diagnostic Procedure)
Elevated leucine (Finding) (Newborn-Screen-Follow-up-Elevated-Leucine-Algorithm),triggers,"Amino Acids, Quantitative, Plasma (Diagnostic Procedure)"
Elevated leucine (Finding) (Newborn-Screen-Follow-up-Elevated-Leucine-Algorithm),triggers,"Organic Acids Screen, Random, Urine (Diagnostic Procedure)"
Maple syrup urine disease (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-Leucine-Algorithm),requires confirmation with,"Maple Syrup Urine Disease Screen, Fasting, Whole (Diagnostic Procedure)"
Hydroxyprolinemia (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-Leucine-Algorithm),is,Benign condition (Finding)
Benign condition (Finding) (Newborn-Screen-Follow-up-Elevated-Leucine-Algorithm),requires,No further intervention (Management)
Normal result (Finding) (Newborn-Screen-Follow-up-Elevated-Leucine-Algorithm),requires,No further intervention (Management)
Elevated phenylalanine (Finding) (Newborn-Screen-Follow-up-Elevated-Phenylalanine),indicates ordering,"Amino Acids, Quantitative, Plasma (Diagnostic Procedure)"
Elevated phenylalanine/tyrosine ratio (Finding) (Newborn-Screen-Follow-up-Elevated-Phenylalanine),indicates treatment,Low phenylalanine diet (Therapeutic or Preventive Procedure)
Elevated phenylalanine/tyrosine ratio (Finding) (Newborn-Screen-Follow-up-Elevated-Phenylalanine),indicates performing,Urine pterin (Diagnostic Procedure)
Elevated phenylalanine/tyrosine ratio (Finding) (Newborn-Screen-Follow-up-Elevated-Phenylalanine),indicates performing,Erythrocyte dihydrobiopterin reductase (Diagnostic Procedure)
Result consistent with phenylalanine hydroxylase deficiency (Finding) (Newborn-Screen-Follow-up-Elevated-Phenylalanine),indicates ordering,"Phenylalanine Disorders Gene Panel, Variants (Diagnostic Procedure)"
Result consistent with tetrahydrobiopterin deficiency (Finding) (Newborn-Screen-Follow-up-Elevated-Phenylalanine),indicates ordering,"Phenylalanine Disorders Gene Panel, Variants (Diagnostic Procedure)"
Result consistent with DHPR deficiency (Finding) (Newborn-Screen-Follow-up-Elevated-Phenylalanine),indicates ordering,"Phenylalanine Disorders Gene Panel, Variants (Diagnostic Procedure)"
Normal result (Finding) (Newborn-Screen-Follow-up-Elevated-Phenylalanine),indicates,Stop (Health Care Activity)
Community-acquired diarrhea <7 days duration without warning signs or risk factors (Disease or Syndrome) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),does not require,Laboratory testing (Diagnostic Procedure)
Community-acquired diarrhea >7 days duration (Disease or Syndrome) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),requires,"GIP / Gastrointestinal Pathogen Panel, PCR, Feces (Diagnostic Procedure)"
Travel-related diarrhea (Disease or Syndrome) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),requires,"GIP / Gastrointestinal Pathogen Panel, PCR, Feces (Diagnostic Procedure)"
Diarrhea with warning signs or risk factors for severe disease (Disease or Syndrome) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),requires,"GIP / Gastrointestinal Pathogen Panel, PCR, Feces (Diagnostic Procedure)"
Travel-related diarrhea >2 weeks or immunocompromised (Disease or Syndrome) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),indicates consideration of,"OPE / Ova and Parasite, Feces (Diagnostic Procedure)"
Positive GIP result (Finding) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),excludes need for,Additional testing (Diagnostic Procedure)
Negative GIP result with persistent diarrhea (Finding) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),indicates consideration of,"STL / Enteric Pathogens Culture, Feces (Diagnostic Procedure)"
Negative GIP result with persistent diarrhea (Finding) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),indicates consideration of,"GIAR / Giardia Antigen, Feces (Diagnostic Procedure)"
Negative GIP result with persistent diarrhea (Finding) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),indicates consideration of,"LCMSP / Microsporidia species, Molecular Detection, PCR (Diagnostic Procedure)"
Negative GIP result with persistent diarrhea (Finding) (Laboratory_Testing_For_Infectious_Causes_of_Diarrhea),indicates consideration of,"OPE / Ova and Parasite, Feces (Diagnostic Procedure)"
